,param_n_neighbors,param_p,param_weights,mean_test_score,rank_test_score
6,2,1,uniform,0.931717612931941,1
18,4,1,uniform,0.9151296437482188,2
14,3,1,<function point_weight at 0x0000028324F53E20>,0.9116941230320366,3
7,2,1,distance,0.9115266188444318,4
0,1,1,uniform,0.9115266188444318,4
2,1,1,<function point_weight at 0x0000028324F53E20>,0.9115266188444318,4
1,1,1,distance,0.9115266188444318,4
8,2,1,<function point_weight at 0x0000028324F53E20>,0.9115266188444318,4
20,4,1,<function point_weight at 0x0000028324F53E20>,0.9115264784385747,9
44,8,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
98,17,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
38,7,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
104,18,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
50,9,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
110,19,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
86,15,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
32,6,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
92,16,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
116,20,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
68,12,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
62,11,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
56,10,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
80,14,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
74,13,1,<function point_weight at 0x0000028324F53E20>,0.9114427263447723,10
26,5,1,<function point_weight at 0x0000028324F53E20>,0.9113589742509699,25
30,6,1,uniform,0.9044064272185178,26
9,2,2,uniform,0.901973685134249,27
19,4,1,distance,0.9013051426453306,28
13,3,1,distance,0.8972844805193894,29
42,8,1,uniform,0.8966987072832732,30
31,6,1,distance,0.8965306414722397,31
12,3,1,uniform,0.8961116001915135,32
43,8,1,distance,0.8933476406901791,33
25,5,1,distance,0.8893267679554521,34
54,10,1,uniform,0.8889066034278686,35
55,10,1,distance,0.8886558385669616,36
37,7,1,distance,0.8875669911446027,37
67,12,1,distance,0.8860593832532319,38
49,9,1,distance,0.8853888048793843,39
24,5,1,uniform,0.8851377592067632,40
66,12,1,uniform,0.8849697635986583,41
3,1,2,uniform,0.8842967281223103,42
4,1,2,distance,0.8842967281223103,42
5,1,2,<function point_weight at 0x0000028324F53E20>,0.8842967281223103,42
10,2,2,distance,0.8842967281223103,42
11,2,2,<function point_weight at 0x0000028324F53E20>,0.8842967281223103,42
61,11,1,distance,0.8839651596906016,47
79,14,1,distance,0.8821214903800929,48
36,7,1,uniform,0.8814507013974595,49
91,16,1,distance,0.8804464485040459,50
73,13,1,distance,0.8801948412079958,51
78,14,1,uniform,0.8793559864143294,52
85,15,1,distance,0.8786033408169656,53
17,3,2,<function point_weight at 0x0000028324F53E20>,0.8780970372960079,54
103,18,1,distance,0.8778497123786015,55
115,20,1,distance,0.8777656092701562,56
97,17,1,distance,0.8775979646766944,57
21,4,2,uniform,0.8774282841983038,58
90,16,1,uniform,0.8761729154293401,59
23,4,2,<function point_weight at 0x0000028324F53E20>,0.8760033051538778,60
48,9,1,uniform,0.875753874148614,61
109,19,1,distance,0.8755872825990808,62
35,6,2,<function point_weight at 0x0000028324F53E20>,0.8750814704986233,63
29,5,2,<function point_weight at 0x0000028324F53E20>,0.8749975077960352,64
47,8,2,<function point_weight at 0x0000028324F53E20>,0.8749138259051614,65
41,7,2,<function point_weight at 0x0000028324F53E20>,0.8744112431394188,66
53,9,2,<function point_weight at 0x0000028324F53E20>,0.8742437389518141,67
59,10,2,<function point_weight at 0x0000028324F53E20>,0.8737405243597142,68
65,11,2,<function point_weight at 0x0000028324F53E20>,0.8734055861874334,69
71,12,2,<function point_weight at 0x0000028324F53E20>,0.8731543299060265,70
77,13,2,<function point_weight at 0x0000028324F53E20>,0.8729869661242787,71
83,14,2,<function point_weight at 0x0000028324F53E20>,0.8729031438275479,72
60,11,1,uniform,0.8728221296479604,73
89,15,2,<function point_weight at 0x0000028324F53E20>,0.8720655526865958,74
95,16,2,<function point_weight at 0x0000028324F53E20>,0.8717304039055292,75
101,17,2,<function point_weight at 0x0000028324F53E20>,0.8716467220146555,76
107,18,2,<function point_weight at 0x0000028324F53E20>,0.8714792178270508,77
113,19,2,<function point_weight at 0x0000028324F53E20>,0.8713954657332484,78
102,18,1,uniform,0.8709790921638086,79
119,20,2,<function point_weight at 0x0000028324F53E20>,0.8709766350613082,80
72,13,1,uniform,0.8676271831355716,81
114,20,1,uniform,0.867460170368467,82
22,4,2,distance,0.8656992703107603,83
33,6,2,uniform,0.8656153778111009,84
84,15,1,uniform,0.8653653149794795,85
96,17,1,uniform,0.8633551945252949,86
108,19,1,uniform,0.8595013345576724,87
16,3,2,distance,0.8563158064701828,88
15,3,2,uniform,0.8548079879700261,89
34,6,2,distance,0.8538025416268263,90
45,8,2,uniform,0.8533838513607434,91
46,8,2,distance,0.844922432784206,92
57,10,2,uniform,0.8439161440058633,93
28,5,2,distance,0.8425766721284547,94
58,10,2,distance,0.8398956222857793,95
27,5,2,uniform,0.8382200187863036,96
40,7,2,distance,0.8361264972529593,97
69,12,2,uniform,0.832607224442975,98
52,9,2,distance,0.832103658836232,99
70,12,2,distance,0.8317699141137371,100
39,7,2,uniform,0.8311833686454065,101
64,11,2,distance,0.8276643064442076,102
82,14,2,distance,0.8271624959106794,103
81,14,2,uniform,0.8265755292247772,104
94,16,2,distance,0.824312818633542,105
51,9,2,uniform,0.8239770380261182,106
93,16,2,uniform,0.8223019259471428,107
76,13,2,distance,0.8218004664282574,108
88,15,2,distance,0.8207104957590412,109
106,18,2,distance,0.8183652967267182,110
63,11,2,uniform,0.8180302181485803,111
105,18,2,uniform,0.816940738899864,112
100,17,2,distance,0.8164385071487642,113
118,20,2,distance,0.8140922550725126,114
75,13,2,uniform,0.8114958699617112,115
112,19,2,distance,0.811495238135354,116
87,15,2,uniform,0.8100706803084996,117
117,20,2,uniform,0.8094831519991686,118
99,17,2,uniform,0.8049604687309134,119
111,19,2,uniform,0.7996822615452227,120
